,Year,Weight,Value,Commodity,Partner,PartnerISO
689,1994,46199,196841,"Grape wines(including fortified), alcoholic grape mus",Saint Vincent and the Grenadines,VCT
690,1994,2796,21509,"Grape wines(including fortified), alcoholic grape mus",Sao Tome and Principe,STP
691,1994,30796,118393,"Grape wines(including fortified), alcoholic grape mus",Saudi Arabia,SAU
692,1994,867386,1211057,"Grape wines(including fortified), alcoholic grape mus",Senegal,SEN
693,1994,53125,323550,"Grape wines(including fortified), alcoholic grape mus",Seychelles,SYC
694,1994,15398,55851,"Grape wines(including fortified), alcoholic grape mus",Sierra Leone,SLE
695,1994,219100,1187920,"Grape wines(including fortified), alcoholic grape mus",India,IND
696,1994,2868375,27929538,"Grape wines(including fortified), alcoholic grape mus",Singapore,SGP
697,1994,41925,40126,"Grape wines(including fortified), alcoholic grape mus",Slovakia,SVK
698,1994,403601,1067718,"Grape wines(including fortified), alcoholic grape mus",Viet Nam,VNM
699,1994,41612,533587,"Grape wines(including fortified), alcoholic grape mus",Slovenia,SVN
700,1994,179096,1747357,"Grape wines(including fortified), alcoholic grape mus",So. African Customs Union,ZAF
701,1994,11784,23316,"Grape wines(including fortified), alcoholic grape mus",Zimbabwe,ZWE
702,1994,5949812,20905580,"Grape wines(including fortified), alcoholic grape mus",Spain,ESP
703,1994,4124,62179,"Grape wines(including fortified), alcoholic grape mus",Suriname,SUR
704,1994,19821476,41444952,"Grape wines(including fortified), alcoholic grape mus",Sweden,SWE
705,1994,66154000,282272800,"Grape wines(including fortified), alcoholic grape mus",Switzerland,CHE
706,1994,54901,265890,"Grape wines(including fortified), alcoholic grape mus",Syria,SYR
708,1994,1575085,8894772,"Grape wines(including fortified), alcoholic grape mus",Thailand,THA
640,1994,371773,2079043,"Grape wines(including fortified), alcoholic grape mus",Lebanon,LBN
639,1994,37425,151833,"Grape wines(including fortified), alcoholic grape mus",Lao People's Dem. Rep.,LAO
638,1994,2312,17533,"Grape wines(including fortified), alcoholic grape mus",Kuwait,KWT
572,1994,235074,270046,"Grape wines(including fortified), alcoholic grape mus",Belarus,BLR
573,1994,54199,209675,"Grape wines(including fortified), alcoholic grape mus",Cambodia,KHM
574,1994,640499,3137183,"Grape wines(including fortified), alcoholic grape mus",Cameroon,CMR
575,1994,60326312,139980832,"Grape wines(including fortified), alcoholic grape mus",Canada,CAN
576,1994,2909,18798,"Grape wines(including fortified), alcoholic grape mus",Cabo Verde,CPV
577,1994,45112,560520,"Grape wines(including fortified), alcoholic grape mus",Cayman Isds,CYM
578,1994,83913,317585,"Grape wines(including fortified), alcoholic grape mus",Central African Rep.,CAF
579,1994,146398,621435,"Grape wines(including fortified), alcoholic grape mus",Sri Lanka,LKA
580,1994,35897,73566,"Grape wines(including fortified), alcoholic grape mus",Chad,TCD
581,1994,27300,483699,"Grape wines(including fortified), alcoholic grape mus",Chile,CHL
