,Year,Weight,Value,Commodity,Partner,PartnerISO
145,2000,2409299,971624,Soya beans,USA,USA
144,2000,382373629,73131495,Soya beans,United Kingdom,GBR
156,2001,278335,61138,Soya beans,Denmark,DNK
170,2001,44750000,7065305,Soya beans,Morocco,MAR
171,2001,3319067634,590705674,Soya beans,Netherlands,NLD
172,2001,412883280,75609212,Soya beans,Norway,NOR
173,2001,9477550,2877377,Soya beans,Paraguay,PRY
174,2001,7368048,1296104,Soya beans,Peru,PER
175,2001,25803520,4535378,Soya beans,Philippines,PHL
177,2001,85613969,13977559,Soya beans,Romania,ROU
179,2001,42000,16800,Soya beans,Switzerland,CHE
180,2001,39532485,6782922,Soya beans,Thailand,THA
181,2001,3329755,512982,Soya beans,Egypt,EGY
182,2001,511975223,91080131,Soya beans,United Kingdom,GBR
183,2001,2687260,1108195,Soya beans,USA,USA
184,2001,80061659,13891019,Soya beans,Venezuela,VEN
157,2001,459045312,80863021,Soya beans,France,FRA
178,2001,1367763019,232684699,Soya beans,Spain,ESP
168,2001,217140447,36478143,Soya beans,Mexico,MEX
176,2001,878354968,154359223,Soya beans,Portugal,PRT
166,2001,99971670,16642864,Soya beans,Rep. of Korea,KOR
155,2001,28628134,6006200,Soya beans,Cuba,CUB
167,2001,13680000,2269649,Soya beans,Malaysia,MYS
154,2001,67180590,11964593,Soya beans,Croatia,HRV
153,2001,3192322587,537663759,Soya beans,China,CHN
152,2001,7530000,1204019,Soya beans,Chile,CHL
150,2001,154698156,24197213,Soya beans,Bolivia (Plurinational State of),BOL
149,2001,794546282,139905231,Soya beans,Belgium,BEL
148,2001,15675542036,2725507890,Soya beans,World,WLD
151,2001,132000,90089,Soya beans,Belize,BLZ
159,2001,54710842,8856926,Soya beans,Greece,GRC
160,2001,20000,8000,Soya beans,Guatemala,GTM
161,2001,7000000,1183280,Soya beans,"China, Hong Kong SAR",HKG
162,2001,453631003,76494419,Soya beans,Iran,IRN
163,2001,13788680,2412224,Soya beans,Ireland,IRL
164,2001,727808117,120967095,Soya beans,Italy,ITA
165,2001,768490116,137360935,Soya beans,Japan,JPN
158,2001,1573609576,279417590,Soya beans,Germany,DEU
10,2002,41248905,7781809,"Soya beans, whether or not broken.",Finland,FIN
16,2002,521300313,97166908,"Soya beans, whether or not broken.",Italy,ITA
15,2002,4100000,830730,"Soya beans, whether or not broken.",Ireland,IRL
14,2002,355002619,64318870,"Soya beans, whether or not broken.",Iran,IRN
13,2002,98631934,19053347,"Soya beans, whether or not broken.",Greece,GRC
12,2002,1587799221,307517289,"Soya beans, whether or not broken.",Germany,DEU
11,2002,501578036,94540413,"Soya beans, whether or not broken.",France,FRA
9,2002,5150000,1053520,"Soya beans, whether or not broken.",Denmark,DNK
1,2002,712250,139925,"Soya beans, whether or not broken.",Argentina,ARG
7,2002,84779454,14782958,"Soya beans, whether or not broken.",Croatia,HRV
6,2002,18000,7020,"Soya beans, whether or not broken.",Congo,COG
5,2002,4142664508,825474522,"Soya beans, whether or not broken.",China,CHN
4,2002,86072020,17166568,"Soya beans, whether or not broken.",Cayman Isds,CYM
3,2002,217587827,38104432,"Soya beans, whether or not broken.",Bolivia (Plurinational State of),BOL
2,2002,692353651,124590762,"Soya beans, whether or not broken.",Belgium,BEL
0,2002,15970002019,3031983963,"Soya beans, whether or not broken.",World,WLD
8,2002,2106000,800098,"Soya beans, whether or not broken.",Cuba,CUB
18,2002,164998400,31905565,"Soya beans, whether or not broken.",Rep. of Korea,KOR
36,2002,667826881,128576713,"Soya beans, whether or not broken.",United Kingdom,GBR
20,2002,44000000,7009652,"Soya beans, whether or not broken.",Mexico,MEX
39,2002,5000000,790950,"Soya beans, whether or not broken.",Serbia and Montenegro,SCG
38,2002,200000,94000,"Soya beans, whether or not broken.",Venezuela,VEN
37,2002,3077221,768475,"Soya beans, whether or not broken.",USA,USA
35,2002,4156323,722411,"Soya beans, whether or not broken.",Turkey,TUR
34,2002,104429538,18806152,"Soya beans, whether or not broken.",Thailand,THA
33,2002,710340,295831,"Soya beans, whether or not broken.",Switzerland,CHE
32,2002,282190,70732,"Soya beans, whether or not broken.",Sweden,SWE
31,2002,1209718055,223586719,"Soya beans, whether or not broken.",Spain,ESP
19,2002,11340516,2203462,"Soya beans, whether or not broken.",Malaysia,MYS
30,2002,2000000,388400,"Soya beans, whether or not broken.",India,IND
28,2002,36031040,6274190,"Soya beans, whether or not broken.",Romania,ROU
27,2002,919948473,164609343,"Soya beans, whether or not broken.",Portugal,PRT
26,2002,2000000,423503,"Soya beans, whether or not broken.",Philippines,PHL
25,2002,8342580,2697091,"Soya beans, whether or not broken.",Paraguay,PRY
24,2002,406814400,77367656,"Soya beans, whether or not broken.",Norway,NOR
23,2002,2946292786,543968708,"Soya beans, whether or not broken.",Netherlands,NLD
22,2002,134579452,24465952,"Soya beans, whether or not broken.",Morocco,MAR
29,2002,53191640,8802332,"Soya beans, whether or not broken.",Russian Federation,RUS
17,2002,712223446,140012555,"Soya beans, whether or not broken.",Japan,JPN
59,2003,235932815,53188940,"Soya beans, whether or not broken.",Rep. of Korea,KOR
77,2003,2950000,656346,"Soya beans, whether or not broken.",Uruguay,URY
55,2003,195133367,45066827,"Soya beans, whether or not broken.",Israel,ISR
54,2003,19724898,4335296,"Soya beans, whether or not broken.",Ireland,IRL
53,2003,359456584,77224310,"Soya beans, whether or not broken.",Iran,IRN
52,2003,106759522,22701090,"Soya beans, whether or not broken.",Greece,GRC
51,2003,2206527576,493473175,"Soya beans, whether or not broken.",Germany,DEU
50,2003,579155927,130265157,"Soya beans, whether or not broken.",France,FRA
49,2003,41200000,9385800,"Soya beans, whether or not broken.",Finland,FIN
56,2003,773353355,165066287,"Soya beans, whether or not broken.",Italy,ITA
48,2003,24926055,5554963,"Soya beans, whether or not broken.",Denmark,DNK
45,2003,6101943086,1313073236,"Soya beans, whether or not broken.",China,CHN
44,2003,8123310,1660514,"Soya beans, whether or not broken.",Cayman Isds,CYM
43,2003,176045272,32784208,"Soya beans, whether or not broken.",Bolivia (Plurinational State of),BOL
42,2003,677838472,148140395,"Soya beans, whether or not broken.",Belgium,BEL
41,2003,28169801,5409700,"Soya beans, whether or not broken.",Argentina,ARG
40,2003,19890466334,4290442927,"Soya beans, whether or not broken.",World,WLD
78,2003,10700,10914,"Soya beans, whether or not broken.",Venezuela,VEN
46,2003,76130601,16034990,"Soya beans, whether or not broken.",Croatia,HRV
57,2003,625292748,140000544,"Soya beans, whether or not broken.",Japan,JPN
47,2003,60000,46200,"Soya beans, whether or not broken.",Cuba,CUB
60,2003,60767267,13284646,"Soya beans, whether or not broken.",Malaysia,MYS
76,2003,872020,448460,"Soya beans, whether or not broken.",USA,USA
58,2003,8300000,1828236,"Soya beans, whether or not broken.",Dem. People's Rep. of Korea,PRK
75,2003,618221014,136404350,"Soya beans, whether or not broken.",United Kingdom,GBR
74,2003,71737157,14883591,"Soya beans, whether or not broken.",Turkey,TUR
73,2003,92389741,19983024,"Soya beans, whether or not broken.",Thailand,THA
71,2003,769810,226353,"Soya beans, whether or not broken.",Sweden,SWE
