Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,328,Guyana,GUY,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,13806,,13806,,78102,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,332,Haiti,HTI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,74919,,74919,,537432,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,344,"China, Hong Kong SAR",HKG,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,769567,,769567,,6605582,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,348,Hungary,HUN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1100364,,1100364,,5571066,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,352,Iceland,ISL,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1547,,1547,,16646,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,360,Indonesia,IDN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,200616,,200616,,2008226,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,368,Iraq,IRQ,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,545943,,545943,,2452300,,,6
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,372,Ireland,IRL,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,7670248,,7670248,,15347535,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,376,Israel,ISR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,590003,,590003,,4225997,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,381,Italy,ITA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,49041972,,49041972,,247078748,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,384,Côte d'Ivoire,CIV,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,618912,,618912,,3286956,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,388,Jamaica,JAM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,9688,,9688,,104104,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,392,Japan,JPN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,10578584,,10578584,,97207742,,,6
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,398,Kazakhstan,KAZ,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,217460,,217460,,1296461,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,400,Jordan,JOR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,182218,,182218,,1283726,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,404,Kenya,KEN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,47675,,47675,,403427,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,410,Rep. of Korea,KOR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,3112674,,3112674,,21565690,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,414,Kuwait,KWT,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,2018819,,2018819,,14315533,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,417,Kyrgyzstan,KGZ,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,784,,784,,7387,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,418,Lao People's Dem. Rep.,LAO,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,13288,,13288,,73896,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,422,Lebanon,LBN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1939033,,1939033,,12053035,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,428,Latvia,LVA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,122676,,122676,,806086,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,430,Liberia,LBR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,20813,,20813,,112625,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,434,Libya,LBY,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,862561,,862561,,4212067,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,440,Lithuania,LTU,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,210922,,210922,,1349418,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,442,Luxembourg,LUX,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,36729662,,36729662,,217440688,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,446,"China, Macao SAR",MAC,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,577,,577,,5373,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,450,Madagascar,MDG,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,140648,,140648,,1070430,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,454,Malawi,MWI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,90,,90,,2395,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,458,Malaysia,MYS,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,216587,,216587,,1924376,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,462,Maldives,MDV,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,21715,,21715,,127304,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,466,Mali,MLI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,123272,,123272,,1160465,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,470,Malta,MLT,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,645035,,645035,,4300650,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,478,Mauritania,MRT,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,57502,,57502,,438734,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,480,Mauritius,MUS,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,490619,,490619,,3769717,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,484,Mexico,MEX,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,178077,,178077,,1773959,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,490,"Other Asia, nes",,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,247457,,247457,,2062655,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,498,Rep. of Moldova,MDA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,42504,,42504,,328378,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,499,Montenegro,MNE,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,3701,,3701,,17650,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,504,Morocco,MAR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1650066,,1650066,,10527003,,,0
